State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn.
KS,128,415,382-4657,yes,yes,24,265.3,110,45,196.6,99,17,245,,10.3,9.5,4,2.5,1,False.
OH,107,415,371-7191,no,yes,25,161.5,123,27.5,194.8,104,17,254.5,102,10.8,13.1,4,,1,False.
NJ,137,415,358-1921,no,no,-1,243.6,114,41.4,120.3,110,10.6,162.7,104,6.6,11.5,6,3.1,0,False.
OH,84,408,375-9999,no,no,-1,299.5,71,50.9,61,88,5.7,196.9,88,8.3,6.1,8,1.4,2,False.
OK,75,415,330-6626,no,no,-1,166.7,113,28.3,147.5,122,13,187.2,120,7.7,9.7,3,2.5,3,False.
AL,118,510,391-8027,no,no,,223.4,98,37.8,219.8,101,19.1,204,117,8.7,5.4,7,1.5,0,False.
MA,121,510,355-9993,no,yes,23,218.1,88,37,347.7,108,29.9,212.7,117,9.1,7,8,1.7,3,False.
MO,147,415,329-9001,no,no,-1,156.9,79,26.7,102.5,94,9.1,211.8,95,8.9,6.6,6,1.6,0,False.
LA,117,408,335-4719,no,no,-1,184.4,97,31.3,350.7,81,30.2,215.7,89,9.1,8,5,2,1,False.
WV,141,415,330-8173,no,yes,,258.6,84,43.8,221.3,111,19.2,326.4,96,14,10.8,6,2.7,0,False.
IN,65,415,329-6603,no,no,-1,129.1,137,21.8,227.7,84,19.6,209,110,8.7,12.1,7,3.2,4,True.
RI,74,415,344-9403,no,no,-1,,127,31.7,162.7,148,14.2,196.2,94,8,8.3,5,2.3,0,False.
IA,168,408,363-1107,no,no,-1,129,96,21.7,104.1,72,9.2,141.3,128,5.5,10.6,3,2.8,1,False.
MT,95,510,394-8006,no,no,-1,156.6,88,26.4,246.8,76,21.3,,114,7.9,,6,3.1,3,False.
IA,62,415,366-9238,no,no,-1,120.8,70,20.4,306.5,76,26.4,203.2,98,8.6,,,3.2,4,False.
NY,161,415,351-7269,no,no,-1,333,67,56.4,316.9,98,27.1,160.6,127,6.5,5,10,1.2,4,True.
ID,85,408,350-8884,no,yes,26,196.3,139,33.3,279.9,90,24.3,89.4,74,3.5,13.2,5,3.6,1,False.
